[ 2025-03-24 13:25:13,949 ] 26 root - INFO - Initiate Data Ingestion
[ 2025-03-24 13:25:20,338 ] 69 root - INFO - Performed train test split on the dataframe
[ 2025-03-24 13:25:20,339 ] 71 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-24 13:25:20,339 ] 76 root - INFO - Exporting train and test file path.
[ 2025-03-24 13:25:20,381 ] 85 root - INFO - Exported train and test file path.
[ 2025-03-24 13:25:20,381 ] 28 root - INFO - Data Ingestion Completed
[ 2025-03-24 13:25:20,400 ] 36 root - INFO - Initiate data validation
[ 2025-03-24 13:25:20,466 ] 35 root - INFO - Required number of columns:2
[ 2025-03-24 13:25:20,466 ] 36 root - INFO - Data frame has columns:31
[ 2025-03-24 13:25:20,466 ] 35 root - INFO - Required number of columns:2
[ 2025-03-24 13:25:20,466 ] 36 root - INFO - Data frame has columns:31
[ 2025-03-24 13:25:20,566 ] 38 root - INFO - Data validation completed
[ 2025-03-24 13:25:20,567 ] 42 root - INFO - Data transformation started
[ 2025-03-24 13:25:20,567 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-24 13:25:20,567 ] 65 root - INFO - Starting data transformation
[ 2025-03-24 13:25:20,625 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-24 13:25:20,625 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-24 13:25:20,636 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-24 13:25:20,640 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-24 13:25:20,640 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-24 13:25:20,642 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-24 13:25:20,644 ] 46 root - INFO - Data transformation completed
[ 2025-03-24 13:25:20,644 ] 49 root - INFO - Model Training sstared
