[ 2025-03-24 12:26:47,448 ] 26 root - INFO - Initiate Data Ingestion
[ 2025-03-24 12:26:54,058 ] 69 root - INFO - Performed train test split on the dataframe
[ 2025-03-24 12:26:54,058 ] 71 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-24 12:26:54,059 ] 76 root - INFO - Exporting train and test file path.
[ 2025-03-24 12:26:54,111 ] 85 root - INFO - Exported train and test file path.
[ 2025-03-24 12:26:54,112 ] 28 root - INFO - Data Ingestion Completed
[ 2025-03-24 12:26:54,130 ] 36 root - INFO - Initiate data validation
[ 2025-03-24 12:26:54,185 ] 35 root - INFO - Required number of columns:2
[ 2025-03-24 12:26:54,188 ] 36 root - INFO - Data frame has columns:31
[ 2025-03-24 12:26:54,188 ] 35 root - INFO - Required number of columns:2
[ 2025-03-24 12:26:54,188 ] 36 root - INFO - Data frame has columns:31
[ 2025-03-24 12:26:54,323 ] 38 root - INFO - Data validation completed
[ 2025-03-24 12:26:54,324 ] 42 root - INFO - Data transformation started
[ 2025-03-24 12:26:54,324 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-24 12:26:54,324 ] 65 root - INFO - Starting data transformation
[ 2025-03-24 12:26:54,420 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-24 12:26:54,432 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-24 12:26:54,450 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-24 12:26:54,454 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-24 12:26:54,454 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-24 12:26:54,457 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-24 12:26:54,459 ] 46 root - INFO - Data transformation completed
[ 2025-03-24 12:26:54,459 ] 49 root - INFO - Model Training sstared
